NUM_BODIES 
9

NUM_STEPS
365

NAMES
Sun
Mercury
Venus
Earth
Mars
Jupiter
Saturn
Uranus
Neptune

MASSES
1.989e+30
3.3011e+23
4.8675e+24
5.972e+24
6.4171e+23
1.89819e+27
5.6834e+26
8.6813e+25
1.02413e+26
 
RADII
695700000.0
2439700
6051800
6371000.0
3389500
71492000
54364000
24973000
24341000

TRAJECTORIES
46, 0, 0, 69053101228.0706, 7407005365.056559, -28830598964.094955, -103971669995.2675, -101290107003.49413, -107670058352.03557, -182637298613.38376, -101231861152.63187, -738608303554.9911, -54481839240.46111, -1351976339351.8215, -40453671841.377464, -2741160303607.963, -28257503990.710426, -4444396855033.836, -21859112872.060913
47, 0, 0, 68499450046.82544, 10740572950.542402, -25899313875.040123, -104756261440.73946, -99397822730.11742, -109460172719.3205, -181610521140.29385, -103252948703.86723, -738524326244.9768, -55664120474.82008, -1351951128644.843, -41332842635.90334, -2741154163894.091, -28871776000.441433, -4444394519272.392, -22334307065.386955
48, 0, 0, 67741909750.01576, 14042161321.558153, -22947578084.0375, -105458135618.11833, -97475025655.47014, -111216685502.2303, -180563978875.72064, -105262799233.75896, -738438546740.7618, -56846265874.047516, -1351925375960.459, -42211996860.69819, -2741147892148.698, -29486046619.52301, -4444392133279.955, -22809501006.28842
49, 0, 0, 66781383455.59486, 17301659774.348793, -19977730170.209267, -106076774344.83047, -95522324651.71371, -112939078740.11699, -179497812735.08713, -107261209761.94325, -738350965282.7672, -58028272555.790764, -1351899081310.6892, -43091134163.374916, -2741141488372.126, -30100315818.36837, -4444389697056.555, -23284694689.39463
50, 0, 0, 65619042592.61774, 20508855651.141575, -16992121022.97322, -106611725786.37384, -93540337293.03896, -114626845921.47119, -178412165903.45374, -109247979421.89137, -738261582116.4562, -59210137638.18653, -1351872244707.8066, -43970254191.55655, -2741134952564.722, -30714583567.39082, -4444387210602.219, -23759888109.334896
51, 0, 0, 64256344825.28773, 23653410701.171135, -13993111947.91537, -107062604701.02602, -91529689626.18839, -116279492125.92813, -177307183796.6521, -111222909488.71942, -738170397492.333, -60391858239.87098, -1351844866164.337, -44849356592.87647, -2741128284726.842, -31328849837.00376, -4444384673916.977, -24235081260.738544
52, 0, 0, 62695056309.22145, 26724837939.422157, -10983072770.80528, -107429092629.9272, -89491015938.85803, -117896534161.20778, -176183014022.0601, -113185803406.14539, -738077411665.9419, -61573431479.98988, -1351816945693.0583, -45728441014.9786, -2741121484858.8467, -31943114597.6207, -4444382087000.857, -24710274138.234898
53, 0, 0, 60937278584.97971, 29712479202.8536, -7964379941.352436, -107710938032.75168, -87424958526.10518, -119477500694.96725, -175039806339.04, -115136466812.58974, -737982624897.8656, -62754854478.20875, -1351788483307.0024, -46607507105.51761, -2741114552961.1064, -32557377819.65524, -4444379449853.892, -25185466736.453285
54, 0, 0, 58985480470.373314, 32605483666.044796, -4939414638.281235, -107907956369.22911, -85332167454.88806, -121021932381.54735, -173877712619.0615, -117074707566.41637, -737886037453.7244, -63936124354.72293, -1351759479019.4534, -47486554512.15916, -2741107489033.9976, -33171639473.52108, -4444376762476.11, -25660659050.02304
55, 0, 0, 56842535369.50522, 35392787656.66857, -1910560877.2801456, -108020030126.82271, -83213300326.86337, -122529381983.59828, -172696886805.5307, -119000335770.31158, -737787649604.1743, -65117238230.26777, -1351729932843.9482, -48365582882.58007, -2741100293077.9033, -33785899529.632034, -4444374024867.545, -26135851073.573498
56, 0, 0, 54511764471.65027, 38063096209.035385, 1119796376.6428018, -108047108794.91624, -81069022039.56665, -123999414488.57365, -171497484873.34708, -120913163794.79921, -737687461624.9064, -66298193226.1287, -1351699844794.2766, -49244591864.46857, -2741092965093.2153, -34400157958.402016, -4444371237028.228, -26611042801.733994
57, 0, 0, 51996986364.81256, 40604866914.83957, 4149273090.890636, -107989208785.9047, -78900004546.10004, -125431607220.08473, -170279664788.20944, -122813006300.89046, -737585473796.6448, -67478986464.15138, -1351669214884.4814, -50123581105.524475, -2741085505080.331, -35014414730.245056, -4444368398958.19, -27086234229.133873
58, 0, 0, 49302573633.99177, 43006296778.45483, 7175488039.612368, -107846413303.62512, -76706926613.45119, -126825549944.11064, -169043586465.69238, -124699680261.86798, -737481686405.1459, -68659615066.751785, -1351638043128.858, -51002550253.459435, -2741077913039.656, -35628669815.57528, -4444365510657.467, -27561425350.402485
59, 0, 0, 46433517048.25935, 45255312964.535194, 10196064669.187199, -107618872159.60445, -74490473579.5662, -128180844970.06349, -167789411730.1143, -126573004984.20396, -737376099741.1965, -69840076156.92632, -1351606329541.9543, -51881498955.9971, -2741070188971.602, -36242923184.80694, -4444362572126.09, -28036616160.169178
60, 0, 0, 43395497957.23231, 47339568543.633156, 13208632953.430773, -107306801537.63916, -72251337109.29843, -129497107246.71066, -166517304273.21783, -128432802127.61266, -737268714100.6129, -71020366858.2619, -1351574074138.5718, -52760426860.873375, -2741062332876.5894, -36857174808.3544, -4444359583364.095, -28511806653.063305
61, 0, 0, 40194969507.50163, 49246444602.68084, 16210831237.124882, -106910483707.25925, -69990214949.3543, -130773964452.95969, -165227429612.68408, -130278895724.23853, -737159529784.239, -72200484294.94612, -1351541276933.764, -53639333615.83659, -2741054344755.0444, -37471424656.63213, -4444356544371.517, -28986996823.714226
62, 0, 0, 36839247240.90493, 50963060397.015236, 19200308066.501442, -106430266686.66388, -67707810682.355385, -132011057083.51436, -163919955050.50046, -132111112196.98138, -737048547097.9448, -73380425591.77725, -1351507937942.8374, -54518218868.64775, -2741046224607.4014, -38085672700.05474, -4444353455148.391, -29462186666.751305
63, 0, 0, 33336609533.07715, 52476293583.91505, 22174724005.341774, -105866563855.7503, -65404833480.13583, -133208038529.41379, -162595049631.20352, -133929280376.9608, -736935766352.6254, -74560187874.1744, -1351474057181.3513, -55397082267.0807, -2741037972434.101, -38699918909.036934, -4444350315694.753, -29937376176.803905
64, 0, 0, 29696408151.33764, 53772812997.28415, 25131753435.382923, -105219853519.88965, -63081997856.39181, -134364575153.4691, -161252884100.0164, -135733231520.12234, -736821187864.199, -75739768268.18755, -1351439634665.1177, -56275923458.92239, -2741029588235.592, -39314163253.99355, -4444347126010.64, -30412565348.501396
65, 0, 0, 25929188928.567238, 54839126898.66685, 28069086339.75415, -104490678425.13416, -60740023418.79903, -135480346360.61552, -159893630860.90115, -137522799322.98883, -736704811953.6055, -76919163900.50769, -1351404670410.2012, -57154742091.973045, -2741021072012.3286, -39928405705.33956, -4444343886096.089, -30887754176.473156
66, 0, 0, 22046822130.319557, 55661650164.936646, 30984430068.19849, -103679645225.56943, -58379634620.712585, -136555044663.20033, -158517463934.546, -139297819937.56033, -736586638946.8052, -78098371898.47684, -1351369164432.919, -58033537814.04639, -2741012423764.7744, -40542646233.49005, -4444340595951.138, -31362942655.34856
67, 0, 0, 18062641494.60375, 56226794432.37392, 33875511082.86645, -102787423903.55304, -56001560512.56184, -137588375741.23007, -157124558916.30646, -141058131985.36688, -736466669174.7767, -79277389390.09814, -1351333116749.8413, -58912310272.96984, -2741003643493.399, -41156884808.86024, -4444337255575.825, -31838130779.756996
68, 0, 0, 13991590098.990803, 56521085781.39852, 36740076683.50145, -101814747143.60686, -53606534493.05138, -138580058497.60327, -155715092934.1204, -142803576570.67896, -736344902973.5159, -80456213504.04596, -1351296527377.7908, -59791059116.584755, -2740994731198.679, -41771121401.86546, -4444333864970.19, -32313318544.32785
69, 0, 0, 9850370103.812849, 56531315067.34054, 39575896710.869316, -100762409660.75511, -51195294060.27768, -139529825108.35703, -154289244606.4154, -144533997292.88034, -736221340684.0337, -81634841369.67587, -1351259396333.8428, -60669783992.74661, -2740985686881.099, -42385355982.92121, -4444330424134.273, -32788505943.690514
70, 0, 0, 5657591977.631201, 56244726404.850464, 42380765227.3171, -99631267484.12343, -48768580562.8689, -140437421067.95917, -152847194000.02765, -146249240258.00946, -736095982652.3549, -82813270117.03479, -1351221723635.3252, -61548484549.325226, -2740976510541.15, -42999588522.44309, -4444326933068.113, -33263692972.474384
71, 0, 0, 1433916982.4912772, 55649249486.28532, 45152502173.37944, -98422237196.6356, -46327138951.25378, -141302605229.67963, -151389122588.1503, -147949154089.47476, -735968829229.5162, -83991496876.87099, -1351183509299.8188, -62427160434.20497, -2740967202179.33, -43613818990.846855, -4444323391771.752, -33738879625.308865
72, 0, 0, -2797815548.220391, 54733781203.791306, 47888954999.383865, -97136295131.66536, -43871717529.16355, -142125149841.07706, -149915213208.32993, -149633589937.95105, -735839880771.5647, -85169518780.64412, -1351144753345.1567, -63305811295.28497, -2740957761796.145, -44228047358.54839, -4444319800245.23, -34214065896.823357
73, 0, 0, -7012487257.608824, 53488521247.81227, 50588000271.039276, -95774476527.51894, -41403067705.468895, -142904840574.6394, -148425650020.52863, -151302401490.4633, -735709137639.5558, -86347332960.53532, -1351105455789.4248, -64184436780.47933, -2740948189392.108, -44842273595.96373, -4444316158488.59, -34689251781.64728
74, 0, 0, -11182640236.53051, 51905364719.42499, 53247545248.02504, -94337874640.64229, -38921943746.45195, -143641476553.6191, -146920618465.26913, -152955444978.66537, -735576600199.5519, -87524936549.45721, -1351065616650.9614, -65063036537.71732, -2740938484967.739, -45456497673.50903, -4444312466501.874, -35164437274.410034
75, 0, 0, -15278474139.89333, 49978352031.50874, 55865529434.63072, -92827639818.46251, -36429102528.611435, -144334870373.10574, -145400305221.88043, -154592579186.3215, -735442268822.6202, -88702326681.06392, -1351025235948.3574, -65941610214.94363, -2740928648523.5645, -46070719561.60062, -4444308724285.125, -35639622369.74106
